Time,position_x,linear_velocity_x,input_propeller
1.71447e+09,-32.3261,-3.26726,131.332
1.71447e+09,-32.6557,-3.2966,187.796
1.71447e+09,-32.9932,-3.37475,57.7794
1.71447e+09,-33.3339,-3.40721,188.408
1.71447e+09,-33.6794,-3.45524,130.309
1.71447e+09,-34.0314,-3.51985,146.161
1.71447e+09,-34.3871,-3.55669,93.4995
1.71447e+09,-34.7441,-3.56981,131.033
1.71447e+09,-35.1019,-3.57841,127.019
1.71447e+09,-35.462,-3.60095,97.5181
1.71447e+09,-35.8224,-3.60429,73.7863
1.71447e+09,-36.1809,-3.58427,131.31
1.71447e+09,-36.5395,-3.58607,46.4335
1.71447e+09,-36.8969,-3.57377,9.94838
1.71447e+09,-37.2495,-3.52671,155.205
1.71447e+09,-37.6032,-3.53656,62.9553
1.71447e+09,-37.9576,-3.54379,70.3112
1.71447e+09,-38.3089,-3.51323,24.4933
1.71447e+09,-38.6564,-3.47468,182.463
1.71447e+09,-39.0073,-3.50989,125.088
1.71447e+09,-39.3639,-3.56525,101.158
1.71447e+09,-39.7209,-3.57046,79.8978
1.71447e+09,-40.0764,-3.55518,41.3716
1.71447e+09,-40.4285,-3.52107,196.117
1.71447e+09,-40.7855,-3.57003,110.626
1.71447e+09,-41.1481,-3.62546,4.26691
1.71447e+09,-41.5078,-3.59675,131.472
1.71447e+09,-41.8665,-3.5875,165.542
1.71447e+09,-42.2303,-3.63802,75.9157
1.71447e+09,-42.5957,-3.65338,134.099
1.71447e+09,-42.9612,-3.65564,129.123
1.71447e+09,-43.3291,-3.67886,197.014
1.71447e+09,-43.7045,-3.75383,136.057
1.71447e+09,-44.0865,-3.82006,133.428
1.71447e+09,-44.4707,-3.84217,105.66
1.71447e+09,-44.8553,-3.84569,165.346
1.71447e+09,-45.2429,-3.87611,178.874
1.71447e+09,-45.6378,-3.94926,9.47177
1.71447e+09,-46.0328,-3.95007,41.353
1.71447e+09,-46.422,-3.89155,73.3972
1.71447e+09,-46.8067,-3.84722,94.0112
1.71447e+09,-47.1887,-3.82015,198.277
1.71447e+09,-47.5764,-3.87649,180.539
1.71447e+09,-47.9739,-3.97489,191.896
1.71447e+09,-48.3806,-4.0673,174.373
1.71447e+09,-48.7955,-4.14914,16.9776
1.71447e+09,-49.2096,-4.14074,102.835
1.71447e+09,-49.6194,-4.09845,119.565
1.71447e+09,-50.0281,-4.0872,141.487
1.71447e+09,-50.4379,-4.09791,67.3673
1.71447e+09,-50.846,-4.08118,75.0769
1.71447e+09,-51.2497,-4.03702,170.006
1.71447e+09,-51.6552,-4.05426,92.4077
1.71447e+09,-52.0618,-4.06651,102.149
1.71447e+09,-52.4661,-4.04269,55.0538
1.71447e+09,-52.8666,-4.005,31.5048
1.71447e+09,-53.2615,-3.94879,117.377
1.71447e+09,-53.6537,-3.92208,102.646
1.71447e+09,-54.045,-3.91354,48.195
1.71447e+09,-54.4329,-3.87843,110.948
1.71447e+09,-54.8182,-3.85293,91.9795
1.71447e+09,-55.202,-3.83849,37.6501
1.71447e+09,-55.582,-3.79935,5.30603
1.71447e+09,-55.9563,-3.74397,63.9808
1.71447e+09,-56.3261,-3.6976,198.796
1.71447e+09,-56.701,-3.74877,110.697
1.71447e+09,-57.0811,-3.801,32.0009
1.71447e+09,-57.458,-3.76957,94.5056
1.71447e+09,-57.8317,-3.73644,162.035
1.71447e+09,-58.208,-3.76308,1.97287
1.71447e+09,-58.5838,-3.75808,64.2758
1.71447e+09,-58.9549,-3.71134,61.8183
1.71447e+09,-59.3223,-3.67344,120.013
1.71447e+09,-59.6885,-3.66235,25.4991
1.71447e+09,-60.0524,-3.63842,82.7639
1.71447e+09,-60.4127,-3.60328,73.2106
1.71447e+09,-60.7705,-3.57778,123.351
1.71447e+09,-61.1279,-3.57457,20.9429
1.71447e+09,-61.4834,-3.5543,47.8116
1.71447e+09,-61.8343,-3.50981,88.4492
1.71447e+09,-62.1827,-3.48404,125.777
1.71447e+09,-62.5317,-3.4899,60.2208
1.71447e+09,-62.8798,-3.48118,3.8376
1.71447e+09,-63.2238,-3.43945,122.728
1.71447e+09,-63.5667,-3.42914,27.7807
